ra,ano,fase,fase_ideal,defasagem,pedra,inde,iaa,ieg,ips,ipp,ida,ipv,ian,nota_mat,nota_por,nota_ing,genero,idade,ano_ingresso,instituicao_ensino,indicado_bolsa,atingiu_pv,num_avaliacoes,defasagem_cat,risco_defasagem
RA-42,2022,5,5,0,Ágata,6.72,8.3,7.9,5.6,,4.8,6.083,10.0,3.7,4.5,6.2,Masculino,15.0,2019,Rede Decisão,Não,Não,3.0,Em fase/Avancado,0
RA-43,2022,5,6,-1,Quartzo,5.486,6.3,6.5,5.6,,4.3,5.958,5.0,4.0,5.8,3.2,Feminino,16.0,2019,Escola Pública,Não,Não,3.0,Moderada,1
RA-44,2022,5,7,-2,Quartzo,5.542,5.0,5.9,7.5,,3.0,7.292,5.0,2.3,3.5,3.2,Feminino,17.0,2021,Escola Pública,Sim,Não,3.0,Severa,1
RA-45,2022,5,5,0,Ametista,7.591,7.9,8.9,5.6,,6.8,7.417,10.0,6.3,5.2,8.8,Feminino,15.0,2019,Rede Decisão,Não,Não,3.0,Em fase/Avancado,0
RA-46,2022,5,7,-2,Ágata,6.048,8.8,8.4,6.3,,2.1,7.083,5.0,2.8,2.8,0.7,Feminino,17.0,2022,Escola Pública,Não,Não,3.0,Severa,1
RA-47,2022,5,7,-2,Quartzo,5.677,7.9,6.3,7.5,,2.1,7.042,5.0,2.5,2.2,1.5,Feminino,17.0,2022,Escola Pública,Não,Não,3.0,Severa,1
RA-48,2022,5,5,0,Ametista,8.006,6.7,8.4,7.5,,8.1,8.5,10.0,6.7,8.0,9.5,Feminino,15.0,2017,Rede Decisão,Não,Sim,3.0,Em fase/Avancado,0
RA-49,2022,5,7,-2,Ágata,6.304,7.5,7.4,7.5,,3.9,7.042,5.0,1.5,4.2,6.2,Feminino,17.0,2022,Escola Pública,Não,Não,3.0,Severa,1
RA-50,2022,5,8,-3,Ametista,7.138,7.5,8.4,7.5,,7.8,7.542,2.5,6.5,7.3,9.7,Feminino,18.0,2022,Escola Pública,Não,Não,3.0,Severa,1
RA-51,2022,5,7,-2,Ágata,6.488,8.8,7.6,7.5,,5.0,6.5,5.0,4.5,4.5,6.0,Feminino,17.0,2022,Escola Pública,Não,Não,3.0,Severa,1
RA-52,2022,5,3,2,Ametista,7.861,9.6,8.9,7.5,,6.2,7.5,10.0,3.3,6.3,8.8,Masculino,13.0,2018,Rede Decisão,Não,Não,3.0,Em fase/Avancado,0
RA-53,2022,5,7,-2,Ágata,6.725,9.2,7.0,7.5,,7.0,6.458,5.0,6.0,8.0,,Masculino,17.0,2022,Escola Pública,Não,Não,3.0,Severa,1
RA-54,2022,5,6,-1,Ágata,6.058,7.9,6.9,7.5,,4.8,6.125,5.0,3.0,6.5,,Feminino,16.0,2022,Escola Pública,Não,Não,3.0,Moderada,1
RA-55,2022,5,6,-1,Ágata,6.576,7.1,7.6,5.6,,7.5,6.5,5.0,6.7,7.8,7.9,Feminino,16.0,2017,Escola Pública,Não,Não,3.0,Moderada,1
RA-56,2022,5,5,0,Topázio,8.404,10.0,10.0,7.5,,7.0,8.25,10.0,4.5,6.5,10.0,Feminino,15.0,2019,Rede Decisão,Não,Não,3.0,Em fase/Avancado,0
RA-57,2022,5,6,-1,Ametista,7.305,7.1,8.1,5.6,,8.4,7.875,5.0,9.0,7.0,9.3,Masculino,16.0,2017,Rede Decisão,Não,Não,3.0,Moderada,1
RA-58,2022,5,5,0,Topázio,8.136,9.6,9.2,6.3,,7.2,8.125,10.0,4.5,8.0,9.0,Masculino,15.0,2017,Rede Decisão,Não,Não,3.0,Em fase/Avancado,0
RA-59,2022,5,7,-2,Ametista,7.642,9.2,9.3,7.5,,7.2,7.917,5.0,7.0,5.7,8.8,Masculino,17.0,2022,Escola Pública,Não,Não,3.0,Severa,1
RA-60,2022,5,8,-3,Quartzo,5.537,6.7,6.0,7.5,,4.9,6.167,2.5,5.0,6.2,3.5,Feminino,18.0,2021,Escola Pública,Não,Não,3.0,Severa,1
RA-61,2022,5,5,0,Ametista,7.533,9.2,7.4,7.5,,5.8,7.875,10.0,1.7,6.3,9.3,Masculino,15.0,2021,Escola Pública,Sim,Não,3.0,Em fase/Avancado,0
RA-62,2022,5,7,-2,Ametista,7.891,8.8,9.4,7.5,,9.3,7.25,5.0,8.5,10.0,,Masculino,17.0,2022,Escola Pública,Sim,Não,3.0,Severa,1
RA-63,2022,5,6,-1,Topázio,8.282,8.3,9.1,8.8,,8.7,9.417,5.0,8.2,8.2,9.7,Masculino,16.0,2018,Rede Decisão,Não,Sim,3.0,Moderada,1
